fast,slow,avg_return,avg_win_rate,total_trades,positive_ratio
5,20,0.02333096011521353,0.49384305291047714,319,0.6363636363636364
5,30,0.021903169023940176,0.4833334565664256,233,0.7272727272727273
15,20,0.00329874034513708,0.45675692257213996,332,0.6363636363636364
5,60,0.0031936525686357114,0.5127256648189662,167,0.5454545454545454
20,30,0.0010934606142351156,0.4589215351212255,171,0.5454545454545454
20,50,-0.008208109389151001,0.419011544011544,100,0.36363636363636365
5,50,-0.009245212083763303,0.46104308371054786,177,0.2727272727272727
15,40,-0.011961577611697334,0.4088979202615567,125,0.2727272727272727
20,40,-0.01320982385310363,0.5010592942411125,115,0.45454545454545453
10,60,-0.013991317091000028,0.5001241183059365,125,0.45454545454545453
20,60,-0.014092175877425067,0.4338744588744589,90,0.36363636363636365
5,40,-0.016343702738382388,0.4708138074047165,217,0.5454545454545454
15,30,-0.018352581149646968,0.4383036081565493,158,0.45454545454545453
10,50,-0.021450644093992253,0.42496392496392493,127,0.36363636363636365
15,60,-0.024795111002463413,0.41827364554637275,102,0.2727272727272727
15,50,-0.024948136769248504,0.4292568542568542,114,0.36363636363636365
10,20,-0.02958746266737081,0.42131751867029266,297,0.36363636363636365
10,30,-0.037280153112989975,0.4199866310160427,182,0.36363636363636365
10,40,-0.05579818930831415,0.3468087468087468,151,0.18181818181818182
